returns,train_step,method,seed,environment,source
1.0,3960000.0,Episodic,1,Sawyer Door,baseline
1.0,3970000.0,Episodic,1,Sawyer Door,baseline
1.0,3980000.0,Episodic,1,Sawyer Door,baseline
1.0,3990000.0,Episodic,1,Sawyer Door,baseline
1.0,4000000.0,Episodic,1,Sawyer Door,baseline
1.0,4010000.0,Episodic,1,Sawyer Door,baseline
1.0,4020000.0,Episodic,1,Sawyer Door,baseline
1.0,4030000.0,Episodic,1,Sawyer Door,baseline
1.0,4040000.0,Episodic,1,Sawyer Door,baseline
1.0,4050000.0,Episodic,1,Sawyer Door,baseline
1.0,4060000.0,Episodic,1,Sawyer Door,baseline
1.0,4070000.0,Episodic,1,Sawyer Door,baseline
1.0,4080000.0,Episodic,1,Sawyer Door,baseline
1.0,4090000.0,Episodic,1,Sawyer Door,baseline
1.0,4100000.0,Episodic,1,Sawyer Door,baseline
1.0,4110000.0,Episodic,1,Sawyer Door,baseline
1.0,4120000.0,Episodic,1,Sawyer Door,baseline
1.0,4130000.0,Episodic,1,Sawyer Door,baseline
1.0,4140000.0,Episodic,1,Sawyer Door,baseline
1.0,4150000.0,Episodic,1,Sawyer Door,baseline
1.0,4160000.0,Episodic,1,Sawyer Door,baseline
1.0,4170000.0,Episodic,1,Sawyer Door,baseline
1.0,4180000.0,Episodic,1,Sawyer Door,baseline
1.0,4190000.0,Episodic,1,Sawyer Door,baseline
1.0,4200000.0,Episodic,1,Sawyer Door,baseline
1.0,4210000.0,Episodic,1,Sawyer Door,baseline
1.0,4220000.0,Episodic,1,Sawyer Door,baseline
1.0,4230000.0,Episodic,1,Sawyer Door,baseline
1.0,4240000.0,Episodic,1,Sawyer Door,baseline
1.0,4250000.0,Episodic,1,Sawyer Door,baseline
0.8,4260000.0,Episodic,1,Sawyer Door,baseline
1.0,4270000.0,Episodic,1,Sawyer Door,baseline
1.0,4280000.0,Episodic,1,Sawyer Door,baseline
1.0,4290000.0,Episodic,1,Sawyer Door,baseline
1.0,4300000.0,Episodic,1,Sawyer Door,baseline
1.0,4310000.0,Episodic,1,Sawyer Door,baseline
1.0,4320000.0,Episodic,1,Sawyer Door,baseline
1.0,4330000.0,Episodic,1,Sawyer Door,baseline
1.0,4340000.0,Episodic,1,Sawyer Door,baseline
1.0,4350000.0,Episodic,1,Sawyer Door,baseline
1.0,4360000.0,Episodic,1,Sawyer Door,baseline
1.0,4370000.0,Episodic,1,Sawyer Door,baseline
1.0,4380000.0,Episodic,1,Sawyer Door,baseline
1.0,4390000.0,Episodic,1,Sawyer Door,baseline
1.0,4400000.0,Episodic,1,Sawyer Door,baseline
